refdes;pin;voltage;current
J1;1;48.0;0.00222991
J1;2;0.0;-0.00222991
L2;2;11.9995;0.470174
IC4;11;1.2433e-05;-0.117518
IC4;10;1.2433e-05;-0.117518
IC4;9;1.2433e-05;-0.117518
IC4;3;1.2433e-05;-0.117518
L1;2;35.9984;1.8
R6;2;0.000214064;-1.80000000269758
R2;1;11.1614;-0.00111632
R2;2;1.21148e-06;0.00111595
R8;2;1.407;-0.000913585
R8;1;0.000175978;0.00091346
R12;2;1.21008;-9.80849e-06
R12;1;5.8856e-05;9.70805e-06
D3;1;-1.60311;-0.02
D3;2;0.000352123;0.02
J4;1;11.9967;-0.15
J4;2;0.00036343;0.15
J5;1;11.9992;-0.15
J5;2;0.000360552;0.15
J6;1;11.9986;-0.15
J6;2;0.000514142;0.15
R10;2;1.60094;-0.000164014
R10;1;0.000185066;0.000164009
J3;1;35.9965;-1.8
J3;2;0.00217888;1.8
IC4;7;48.0;-4.99999e-05
IC4;2;48.0;-4.99999e-05
IC2;2;47.9999;-0.0001
IC2;9;0.000186481;5.00001e-05
IC2;11;0.000186282;5.00001e-05
IC1;2;1.07552e-06;0.00111336
IC1;3;0.000130226;-0.00111336
R1;2;48.0;-0.00111632
R1;1;11.1614;0.00111632
FB2;2;48.0;-9.99998e-05
FB2;1;48.0;9.99998e-05
FB1;2;48.0;-0.00101358
FB1;1;47.9999;0.00101358
R4;2;47.9999;-0.000913585
R4;1;1.4071;0.000913585
IC3;3;1.40709;-0.000913585
IC3;2;1.40701;0.000913585
R6;1;0.000214064;2.69762e-09
R11;2;11.9994;-9.8085e-06
R11;1;1.21008;9.8085e-06
R14;1;11.9969;-0.02
R14;2;-1.60306;0.02
R7;1;11.9994;-0.000164014
R7;2;1.60094;0.000164014
