refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,48,0.0022299,0
VCOMP0,VCOMP0-1,0,-0.0022299,0
VCOMP10,VCOMP10-0,11.9995,0.470174,0
VCOMP10,VCOMP10-1,1.2446e-05,-0.117543,0
VCOMP10,VCOMP10-2,1.2446e-05,-0.117543,0
VCOMP10,VCOMP10-3,1.2446e-05,-0.117543,0
VCOMP10,VCOMP10-4,1.2446e-05,-0.117543,0
VCOMP12,VCOMP12-0,35.9984,1.8,0
VCOMP12,VCOMP12-1,0.000214066,-1.8,0
VCOMP1,VCOMP1-0,11.1614,-0.00111632,5000
VCOMP1,VCOMP1-1,1.21148e-06,0.00111595,5000
VCOMP2,VCOMP2-0,1.40701,-0.000913585,770
VCOMP2,VCOMP2-1,0.000176587,0.000913467,770
VCOMP3,VCOMP3-0,1.21008,-9.80849e-06,62000
VCOMP3,VCOMP3-1,5.88688e-05,9.70805e-06,62000
VCOMP4,VCOMP4-0,-1.60311,-0.02,5
VCOMP4,VCOMP4-1,0.00035212,0.02,5
VCOMP5,VCOMP5-0,11.9967,-0.15,0.666667
VCOMP5,VCOMP5-1,0.000363427,0.15,0.666667
VCOMP6,VCOMP6-0,11.9992,-0.15,0.666667
VCOMP6,VCOMP6-1,0.000360553,0.15,0.666667
VCOMP7,VCOMP7-0,11.9986,-0.15,0.666667
VCOMP7,VCOMP7-1,0.000514141,0.15,0.666667
VCOMP8,VCOMP8-0,1.60094,-0.000164014,4880
VCOMP8,VCOMP8-1,0.000185076,0.000164009,4880
VCOMP9,VCOMP9-0,35.9965,-1.8,0.0555556
VCOMP9,VCOMP9-1,0.00217888,1.8,0.0555556
VCOMP11,VCOMP11-0,48,-4.99999e-05,266667
VCOMP11,VCOMP11-1,48,-4.99999e-05,266667
VCOMP11,VCOMP11-2,1.2446e-05,2.5e-05,266667
VCOMP11,VCOMP11-3,1.2446e-05,2.5e-05,266667
VCOMP11,VCOMP11-4,1.2446e-05,2.5e-05,266667
VCOMP11,VCOMP11-5,1.2446e-05,2.5e-05,266667
VCOMP13,VCOMP13-0,47.9999,-0.0001,133333
VCOMP13,VCOMP13-1,0.000186428,5.00001e-05,133333
VCOMP13,VCOMP13-2,0.000186224,5.00001e-05,133333
VCOMP14,VCOMP14-0,1.07552e-06,0.00111337,0.058
VCOMP14,VCOMP14-1,0.000130227,-0.00111337,0.058
VCOMP15,VCOMP15-0,48,-0.00111632,16500
VCOMP15,VCOMP15-1,11.1614,0.00111632,16500
VCOMP16,VCOMP16-0,48,-9.99999e-05,0.075
VCOMP16,VCOMP16-1,48,9.99999e-05,0.075
VCOMP17,VCOMP17-0,48,-0.00101358,0.025
VCOMP17,VCOMP17-1,47.9999,0.00101358,0.025
VCOMP18,VCOMP18-0,47.9999,-0.000913585,25500
VCOMP18,VCOMP18-1,1.4071,0.000913585,25500
VCOMP19,VCOMP19-0,1.4071,-0.000913585,0.046
VCOMP19,VCOMP19-1,1.40701,0.000913585,0.046
VCOMP20,VCOMP20-0,0.000214066,2.93157e-09,0.075
VCOMP20,VCOMP20-1,0.000214066,-2.93151e-09,0.075
VCOMP21,VCOMP21-0,11.9994,-9.8085e-06,550000
VCOMP21,VCOMP21-1,1.21008,9.8085e-06,550000
VCOMP22,VCOMP22-0,11.9969,-0.02,340
VCOMP22,VCOMP22-1,-1.60306,0.02,340
VCOMP23,VCOMP23-0,11.9994,-0.000164014,31700
VCOMP23,VCOMP23-1,1.60094,0.000164014,31700
