x;y;layer1;layer2;voltage1;voltage2;current
153.107;1214.22;TOP_LAYER;LAYER_1;12.178;12.178;5.04691e-11
153.107;1214.22;LAYER_1;LAYER_2;12.178;12.178;4.58393e-11
153.107;1214.22;LAYER_2;BOTTOM_LAYER;12.178;12.178;2.52345e-11
153.107;1314.22;TOP_LAYER;LAYER_1;0.179226;0.179213;0.182939
153.107;1314.22;LAYER_1;LAYER_2;0.179213;0.179142;0.182939
153.107;1314.22;LAYER_2;BOTTOM_LAYER;0.179142;0.179133;0.117404
153.107;2001.62;TOP_LAYER;LAYER_1;12.1755;12.1755;2.52345e-11
153.107;2001.62;LAYER_1;LAYER_2;12.1755;12.1755;-0
153.107;2001.62;LAYER_2;BOTTOM_LAYER;12.1755;12.1755;-2.52345e-11
153.107;2101.62;TOP_LAYER;LAYER_1;0.179295;0.179286;0.13558
153.107;2101.62;LAYER_1;LAYER_2;0.179286;0.179233;0.13558
153.107;2101.62;LAYER_2;BOTTOM_LAYER;0.179233;0.179227;0.0876129
394.895;1278.33;TOP_LAYER;LAYER_1;0.179093;0.179093;0.0123387
394.895;1278.33;LAYER_1;LAYER_2;0.179093;0.179089;0.0123387
394.895;1278.33;LAYER_2;BOTTOM_LAYER;0.179089;0.179089;0.00993779
394.895;1396.44;TOP_LAYER;LAYER_1;0.179106;0.179106;-0.000932763
394.895;1396.44;LAYER_1;LAYER_2;0.179106;0.179107;-0.000932763
394.895;1396.44;LAYER_2;BOTTOM_LAYER;0.179107;0.179107;0.00089319
402.052;70.3886;TOP_LAYER;LAYER_1;0.178816;0.178814;0.0105782
402.052;70.3886;LAYER_1;LAYER_2;0.178814;0.178807;0.0105782
402.052;70.3886;LAYER_2;BOTTOM_LAYER;0.178807;0.178806;0.00686064
402.052;129.444;TOP_LAYER;LAYER_1;0.178816;0.178814;0.0110486
402.052;129.444;LAYER_1;LAYER_2;0.178814;0.178806;0.0110486
402.052;129.444;LAYER_2;BOTTOM_LAYER;0.178806;0.178805;0.00709538
402.052;188.499;TOP_LAYER;LAYER_1;0.178817;0.178815;0.015645
402.052;188.499;LAYER_1;LAYER_2;0.178815;0.178804;0.015645
402.052;188.499;LAYER_2;BOTTOM_LAYER;0.178804;0.178803;0.0088651
425.674;790.861;TOP_LAYER;LAYER_1;0.178888;0.178888;0.00168901
425.674;790.861;LAYER_1;LAYER_2;0.178888;0.178887;0.00168901
425.674;790.861;LAYER_2;BOTTOM_LAYER;0.178887;0.178887;0.000443783
425.674;830.231;TOP_LAYER;LAYER_1;0.178893;0.178894;-0.00685621
425.674;830.231;LAYER_1;LAYER_2;0.178894;0.178899;-0.00685621
425.674;830.231;LAYER_2;BOTTOM_LAYER;0.178899;0.178899;-0.00435177
425.674;869.601;TOP_LAYER;LAYER_1;0.178896;0.178899;-0.0185467
425.674;869.601;LAYER_1;LAYER_2;0.178899;0.178912;-0.0185467
425.674;869.601;LAYER_2;BOTTOM_LAYER;0.178912;0.178913;-0.00981848
473.635;1219.28;TOP_LAYER;LAYER_1;0.179076;0.179075;0.0225402
473.635;1219.28;LAYER_1;LAYER_2;0.179075;0.179069;0.0225402
473.635;1219.28;LAYER_2;BOTTOM_LAYER;0.179069;0.179068;0.0195893
473.635;1337.39;TOP_LAYER;LAYER_1;0.179102;0.179102;0.00421549
473.635;1337.39;LAYER_1;LAYER_2;0.179102;0.179101;0.00421549
473.635;1337.39;LAYER_2;BOTTOM_LAYER;0.179101;0.179101;0.00438907
473.635;1455.5;TOP_LAYER;LAYER_1;0.179123;0.179123;-0.00296879
473.635;1455.5;LAYER_1;LAYER_2;0.179123;0.179124;-0.00296879
473.635;1455.5;LAYER_2;BOTTOM_LAYER;0.179124;0.179124;-0.00119836
473.635;1573.61;TOP_LAYER;LAYER_1;0.179141;0.179141;-0.00357414
473.635;1573.61;LAYER_1;LAYER_2;0.179141;0.179142;-0.00357414
473.635;1573.61;LAYER_2;BOTTOM_LAYER;0.179142;0.179142;-0.00161217
473.635;1691.72;TOP_LAYER;LAYER_1;0.179156;0.179156;-0.00142135
473.635;1691.72;LAYER_1;LAYER_2;0.179156;0.179157;-0.00142135
473.635;1691.72;LAYER_2;BOTTOM_LAYER;0.179157;0.179157;-0.00019106
473.635;1809.83;TOP_LAYER;LAYER_1;0.17917;0.17917;0.00117204
473.635;1809.83;LAYER_1;LAYER_2;0.17917;0.17917;0.00117204
473.635;1809.83;LAYER_2;BOTTOM_LAYER;0.17917;0.17917;0.00154147
473.635;1908.25;TOP_LAYER;LAYER_1;0.179179;0.179179;0.00624006
473.635;1908.25;LAYER_1;LAYER_2;0.179179;0.179177;0.00624006
473.635;1908.25;LAYER_2;BOTTOM_LAYER;0.179177;0.179177;0.00505411
465.045;790.861;TOP_LAYER;LAYER_1;0.178881;0.178881;0.000959418
465.045;790.861;LAYER_1;LAYER_2;0.178881;0.17888;0.000959418
465.045;790.861;LAYER_2;BOTTOM_LAYER;0.17888;0.17888;-0.000410206
465.045;830.231;TOP_LAYER;LAYER_1;0.178886;0.178887;-0.00767676
465.045;830.231;LAYER_1;LAYER_2;0.178887;0.178892;-0.00767676
465.045;830.231;LAYER_2;BOTTOM_LAYER;0.178892;0.178893;-0.0052629
465.045;869.601;TOP_LAYER;LAYER_1;0.178889;0.178892;-0.0210442
465.045;869.601;LAYER_1;LAYER_2;0.178892;0.178907;-0.0210442
465.045;869.601;LAYER_2;BOTTOM_LAYER;0.178907;0.178909;-0.010767
504.415;830.231;TOP_LAYER;LAYER_1;0.178876;0.178877;-0.0124454
504.415;830.231;LAYER_1;LAYER_2;0.178877;0.178887;-0.0124454
504.415;830.231;LAYER_2;BOTTOM_LAYER;0.178887;0.178888;-0.00749111
543.785;830.231;TOP_LAYER;LAYER_1;0.178864;0.178866;-0.0189329
543.785;830.231;LAYER_1;LAYER_2;0.178866;0.17888;-0.0189329
543.785;830.231;LAYER_2;BOTTOM_LAYER;0.17888;0.178881;-0.0111279
559.533;70.3886;TOP_LAYER;LAYER_1;0.178814;0.178811;0.016451
559.533;70.3886;LAYER_1;LAYER_2;0.178811;0.1788;0.016451
559.533;70.3886;LAYER_2;BOTTOM_LAYER;0.1788;0.178798;0.00999563
559.533;129.444;TOP_LAYER;LAYER_1;0.178812;0.17881;0.0165218
559.533;129.444;LAYER_1;LAYER_2;0.17881;0.178798;0.0165218
559.533;129.444;LAYER_2;BOTTOM_LAYER;0.178798;0.178797;0.0100408
559.533;188.499;TOP_LAYER;LAYER_1;0.17881;0.178807;0.0221232
559.533;188.499;LAYER_1;LAYER_2;0.178807;0.178791;0.0221232
559.533;188.499;LAYER_2;BOTTOM_LAYER;0.178791;0.178789;0.0115684
572.06;1396.44;TOP_LAYER;LAYER_1;0.179122;0.179122;0.00191956
572.06;1396.44;LAYER_1;LAYER_2;0.179122;0.179121;0.00191956
572.06;1396.44;LAYER_2;BOTTOM_LAYER;0.179121;0.179121;0.0037038
572.06;1514.55;TOP_LAYER;LAYER_1;0.179137;0.179137;-0.00952832
572.06;1514.55;LAYER_1;LAYER_2;0.179137;0.17914;-0.00952832
572.06;1514.55;LAYER_2;BOTTOM_LAYER;0.17914;0.17914;-0.00518633
