refdes;pin;voltage;current
J1;1;47.9985;1.52876
J1;2;0.0;-1.52876
L2;2;12.1783;0.470174
IC4;11;0.178774;-0.08560179999999999
IC4;10;0.178774;-0.08560179999999999
IC4;9;0.178774;-0.08560179999999999
IC4;3;0.178774;-0.08560179999999999
L1;2;36.1774;1.8
R6;2;0.179185;-1.80000000270703
R2;1;11.1612;-0.00111626
R2;2;0.00043209;0.00111589
R8;2;1.57833;-0.000908664
R8;1;0.179107;0.000908508
R12;2;1.3872;-9.80999e-06
R12;1;0.178818;9.68001e-06
D3;1;-1.42435;-0.02
D3;2;0.179284;0.02
J4;1;12.1755;-0.15
J4;2;0.179295;0.15
J5;1;12.178;-0.15
J5;2;0.179226;0.15
J6;1;12.1774;-0.15
J6;2;0.179394;0.15
R10;2;1.77999;-0.000164009
R10;1;0.179284;0.000164004
J3;1;36.1755;-1.8
J3;2;0.18115;1.8
IC4;7;47.973;-0.0626029
IC4;2;47.9784;-0.0651618
IC2;2;47.9163;-1.39897
IC2;9;0.181186;0.691468
IC2;11;0.179657;0.707504
IC1;2;0.00104384;1.52765
IC1;3;0.178252;-1.52765
R1;2;47.9977;-0.00111626
R1;1;11.1612;0.00111626
FB2;2;47.9977;-0.127765
FB2;1;47.9786;0.127765
FB1;2;47.9915;-1.39988
FB1;1;47.9215;1.39988
R4;2;47.9203;-0.000908664
R4;1;1.57843;0.000908664
IC3;3;1.57842;-0.000908664
IC3;2;1.57834;0.000908664
R6;1;0.179185;2.7071e-09
R11;2;12.1782;-9.80999e-06
R11;1;1.3872;9.80999e-06
R14;1;12.1757;-0.02
R14;2;-1.4243;0.02
R7;1;12.1782;-0.000164009
R7;2;1.77999;0.000164009
